summary: Fold 1/5 	 Epoch 1/8 	 loss=29.6561 	 val_loss=26.5210 	 time=64.85s
summary: Fold 1/5 	 Epoch 2/8 	 loss=25.9546 	 val_loss=25.5658 	 time=66.54s
summary: Fold 1/5 	 Epoch 3/8 	 loss=24.1579 	 val_loss=25.1295 	 time=65.58s
summary: Fold 1/5 	 Epoch 4/8 	 loss=23.2403 	 val_loss=25.6393 	 time=66.14s
summary: Fold 1/5 	 Epoch 5/8 	 loss=22.0644 	 val_loss=25.3637 	 time=65.91s
summary: Fold 1/5 	 Epoch 6/8 	 loss=21.5037 	 val_loss=25.6146 	 time=65.58s
summary: Fold 1/5 	 Epoch 7/8 	 loss=20.7587 	 val_loss=25.8887 	 time=66.07s
summary: Fold 1/5 	 Epoch 8/8 	 loss=20.4312 	 val_loss=26.2503 	 time=65.63s
summary: Fold 2/5 	 Epoch 1/8 	 loss=29.7375 	 val_loss=26.8946 	 time=65.95s
summary: Fold 2/5 	 Epoch 2/8 	 loss=25.8539 	 val_loss=25.8848 	 time=66.97s
summary: Fold 2/5 	 Epoch 3/8 	 loss=23.9573 	 val_loss=25.5346 	 time=64.75s
summary: Fold 2/5 	 Epoch 4/8 	 loss=23.0021 	 val_loss=25.5491 	 time=59.30s
summary: Fold 2/5 	 Epoch 5/8 	 loss=21.7722 	 val_loss=25.8999 	 time=66.16s
summary: Fold 2/5 	 Epoch 6/8 	 loss=21.1708 	 val_loss=26.2068 	 time=67.41s
summary: Fold 2/5 	 Epoch 7/8 	 loss=20.3851 	 val_loss=26.9063 	 time=65.72s
summary: Fold 2/5 	 Epoch 8/8 	 loss=20.0566 	 val_loss=27.0275 	 time=64.71s
summary: Fold 3/5 	 Epoch 1/8 	 loss=29.6134 	 val_loss=26.8887 	 time=66.59s
summary: Fold 3/5 	 Epoch 2/8 	 loss=25.8085 	 val_loss=25.8454 	 time=66.39s
summary: Fold 3/5 	 Epoch 3/8 	 loss=23.8870 	 val_loss=25.7274 	 time=65.63s
summary: Fold 3/5 	 Epoch 4/8 	 loss=22.9181 	 val_loss=25.6568 	 time=66.58s
summary: Fold 3/5 	 Epoch 5/8 	 loss=21.6806 	 val_loss=25.8845 	 time=65.21s
summary: Fold 3/5 	 Epoch 6/8 	 loss=21.0775 	 val_loss=26.3873 	 time=66.11s
summary: Fold 3/5 	 Epoch 7/8 	 loss=20.2788 	 val_loss=26.6697 	 time=67.49s
summary: Fold 3/5 	 Epoch 8/8 	 loss=19.9349 	 val_loss=26.8727 	 time=65.17s
summary: Fold 4/5 	 Epoch 1/8 	 loss=29.4589 	 val_loss=26.6861 	 time=65.90s
summary: Fold 4/5 	 Epoch 2/8 	 loss=25.7154 	 val_loss=25.5791 	 time=66.01s
summary: Fold 4/5 	 Epoch 3/8 	 loss=23.7847 	 val_loss=25.3876 	 time=63.36s
summary: Fold 4/5 	 Epoch 4/8 	 loss=22.8214 	 val_loss=25.4548 	 time=61.98s
summary: Fold 4/5 	 Epoch 5/8 	 loss=21.5389 	 val_loss=25.9547 	 time=63.30s
summary: Fold 4/5 	 Epoch 6/8 	 loss=20.9354 	 val_loss=26.0481 	 time=63.27s
summary: Fold 4/5 	 Epoch 7/8 	 loss=20.1050 	 val_loss=26.4384 	 time=62.64s
summary: Fold 4/5 	 Epoch 8/8 	 loss=19.7612 	 val_loss=26.7702 	 time=64.22s
summary: Fold 5/5 	 Epoch 1/8 	 loss=29.4090 	 val_loss=27.2445 	 time=63.53s
summary: Fold 5/5 	 Epoch 2/8 	 loss=25.7406 	 val_loss=26.7200 	 time=62.98s
summary: Fold 5/5 	 Epoch 3/8 	 loss=23.9242 	 val_loss=25.9995 	 time=62.91s
summary: Fold 5/5 	 Epoch 4/8 	 loss=23.0538 	 val_loss=26.0551 	 time=64.94s
summary: Fold 5/5 	 Epoch 5/8 	 loss=21.8883 	 val_loss=26.4996 	 time=63.16s
summary: Fold 5/5 	 Epoch 6/8 	 loss=21.3404 	 val_loss=26.6835 	 time=62.61s
summary: Fold 5/5 	 Epoch 7/8 	 loss=20.6030 	 val_loss=26.9850 	 time=63.14s
summary: Fold 5/5 	 Epoch 8/8 	 loss=20.2634 	 val_loss=27.2308 	 time=62.63s
